Total,TimeBin,Women,Men,Rabbits
1,255 min,0,1,0
1,270 min,0,1,0
1,285 min,0,1,0
4,300 min,0,4,0
4,315 min,0,4,0
4,330 min,1,3,3
14,345 min,1,13,3
6,360 min,0,6,0
17,375 min,2,15,6
26,390 min,4,22,12
20,405 min,2,18,6
11,420 min,4,7,12
20,435 min,3,17,9
20,450 min,1,19,3
16,465 min,2,14,6
18,480 min,3,15,9
15,495 min,6,9,18
21,510 min,5,16,15
14,525 min,5,9,15
16,540 min,5,11,15
13,555 min,5,8,15
10,570 min,4,6,12
7,585 min,5,2,15
4,600 min,2,2,6
2,615 min,1,1,3
6,630 min,4,2,12
3,645 min,1,2,3
7,660 min,4,3,12
5,675 min,3,2,9
6,690 min,4,2,12
6,705 min,2,4,6
0,720 min,0,0,0
0,735 min,0,0,0
5,750 min,2,3,6
